n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
556576.2060842267,589579.2554822983,589585.4652203822,589585.4782544875,589585.4785350407,589585.4785354491,3177329.9324631514,327172.09016041824,4.660511678327731,1.29250673194409e-14,148.0798325614478,0.015247893470155227,74.0
553957.1681810005,590070.9945262328,590078.0223074888,590078.037645533,590078.0379794531,590078.0379799564,3177173.424700237,327172.07404429774,5.200124863783586,1.6118541209399785e-14,165.2169852233615,0.01701335636973397,75.0
551036.7317006367,590619.3077411599,590627.2698535055,590627.2878992974,590627.2882965517,590627.2882971712,3176998.912839836,327172.05607330083,5.795124807866317,2.0075533941878215e-14,184.11105214362453,0.018960028985910156,76.0
547784.2898751214,591229.9375633107,591238.9661240107,591238.9873495251,591238.9878218764,591238.9878226385,3176804.5704272045,327172.03605901956,6.449929734463534,2.4972458430888608e-14,204.9016625937808,0.02110236643662046,77.0
544166.8631998376,591909.0710679407,591919.3160943874,591919.3410508623,591919.3416121823,591919.3416131188,3176588.429890036,327172.01379843,7.169050130126994,3.10250782946522e-14,227.73121696663068,0.023455125680955452,78.0
540149.0655549964,592663.3461668073,592674.9779151859,592675.0072460049,592675.0079126388,592675.0079137884,3176348.3806593763,327171.98907367996,7.957023628111278,3.849690792330638e-14,252.74279116019656,0.026033152475154364,79.0
535693.1143002283,593499.8495254145,593513.0611204845,593513.095576048,593513.096367242,593513.0963686518,3176082.1699358914,327171.9616521481,8.818329963930212,4.770948633652543e-14,280.0774056705016,0.02885110312794964,80.0
530758.8864471986,594426.1057888597,594441.1161900985,594441.1566450475,594441.157583447,594441.1575851743,3175787.406237515,327171.9312867851,9.757284467034308,5.905459625180088e-14,309.8706112948449,0.03192309603194164,81.0
525304.0435232208,595450.0538672076,595467.1112128474,595467.1586860032,595467.1597982349,595467.159800349,3175461.5670760567,327171.89771687705,10.777905062715805,7.300907689797982e-14,342.24823300248494,0.035262276527810665,82.0
519284.23082354304,596580.009206761,596599.3945798344,596599.4502572406,596599.451574592,596599.4515771773,3175102.0110998484,327171.860669266,11.883749957917749,9.015260354905388e-14,377.32118390792385,0.03888028585460262,83.0
512653.3737267323,597824.6077749399,597846.6394468267,597846.7047083924,597846.7062676039,597846.7062707621,3174705.996057515,327171.81986016745,13.07772241760273,1.111890326903885e-13,415.17923773939174,0.04278662242993194,84.0
505364.0863275765,599192.7288863013,599217.7670970809,599217.8435473684,599217.8453915565,599217.8453954111,3174270.703486859,327171.7749976771,14.361839234498389,1.3697201411326313e-13,455.88365530256374,0.04698788434582118,85.0
497368.21479276725,600693.3926478351,600721.8449916798,600721.9344954795,600721.9366752135,600721.9366799138,3173793.2714583706,327171.72578510665,15.736960580844283,1.6853567227270278e-13,499.458596046892,0.05148688551847018,86.0
488617.5343844097,602335.628453087,602367.9559433111,602368.0606667286,602368.0632412859,602368.0632470122,3173270.836490093,327171.6719252642,17.202479514439837,2.071313260517391e-13,545.8812655849019,0.05628163983999388,87.0
479064.6223966956,604128.3103296829,604165.0342282275,604165.156686121,604165.1597249465,604165.1597319169,3172700.5859433007,327171.61312581616,18.755971518666655,2.5427138668615326e-13,595.0708182720956,0.061364214575040335,88.0
468663.9278599504,606079.9552052718,606121.664710389,606121.807821116,606121.8114055237,606121.8114140009,3172079.8221169207,327171.54910585954,20.392806520837144,3.117817803998073e-13,646.8761008108188,0.06671946100038362,89.0
457373.0561903536,608198.4806567336,608245.8415531353,608246.0087017072,608246.012926858,608246.0129371593,3171406.039091401,327171.4796038166,22.105729262116853,3.8186448210069873e-13,701.0624328039689,0.07232364150408155,90.0
445154.28464208316,610490.9191403923,610544.6835276046,610544.8786385034,610544.8836157067,610544.8836282139,3170677.0132237645,327171.40438674897,23.8844180013269,4.67172082668129e-13,757.2977513103509,0.0781429858045427,91.0
431976.30848324246,612963.088697796,613024.1059218998,613024.3335429591,613024.3394023455,613024.3394175186,3169890.9072422846,327171.32326109277,25.715037608432766,5.708961559613098e-13,815.1386389436442,0.08413222882059715,92.0
417816.23587010504,615619.2167285177,615688.4456536848,615688.711052659,615688.7179462853,615688.7179646782,3169046.3889376624,327171.2360849232,27.579806647831887,6.96873523687648e-13,874.0168666491059,0.09023319431954341,93.0
402661.77891907666,618461.5266762817,618540.0494438005,618540.3587193984,618540.3668248457,618540.3668471241,3168142.761261293,327171.14278142963,29.456612188276363,8.497108450145165e-13,933.2275267556895,0.09637353472107767,94.0
386513.6624119842,621489.7835509711,621578.8210054172,621579.181215006,621579.1907395574,621579.1907665216,3167180.10504401,327171.04335373035,31.31870827529042,1.0349337041494922e-12,991.9198976517702,0.10246574462917875,95.0
